ulykker,Accidents
Regnskapsloven,Accounting Act
Regnskapsdirektivet,Accounting Directive
Tilpasning,Adaptation
Tilleggsavgift,Additional Tax
Justeringsmekanisme,Adjustment Mechanism
Administrativt ansvar,Administrative Liability
Berørte lokalsamfunn,Affected Communities
Forurensning fra landbruket,Agricultural Pollution
Landbrukssektoren,Agricultural Sector
luftforurensning,Air Pollution
Luftvern,Air Protection
Luftkvalitet,Air Quality
Standarder for luftkvalitet,Air Quality Standards
Dyremishandling,Animal Abuse
Dyrehelse og -velferd,Animal Health and Welfare
Dyrevern,Animal Protection
Dyrevelferd,Animal Welfare
Årsregnskap,Annual Account
Anti-bestikkelser,Anti-Bribery
Antikorrupsjon,Anti-Corruption
Anti-Money Laundering,Anti-Money Laundering
Revisorloven,Auditor Act
Fordeling av fordeler,Benefit Sharing
Biologisk mangfold,Biodiversity
Naturmangfoldloven,Biodiversity Act
Bevaring av biologisk mangfold,Biodiversity Conservation
Studiepoeng for biologisk mangfold,Biodiversity Credits
Styrets sammensetning,Board Composition
Representasjon fra styret,Board Representation
Bestikkelsesloven,Bribery Act
Bedrifter,Business Corporations
Beskyttelse av bedrifter,Business Protection
Karbon grense,Carbon Border
Karbonbudsjetter,Carbon Budgets
Karbonfangst,Carbon Capture
Karbonmarkeder,Carbon Markets
Karbonprising,Carbon Pricing
Karbonhandel,Carbon Trading
Kartellloven,Cartel Act
Infrastruktur for lading,Charging Infrastructure
Kjemiske faktorer,Chemical Factor
Kjemikalieloven,Chemicals Act
Forordningen om kjemikalier,Chemicals Ordinance
Barnearbeid,Child Labor
Barnearbeid,Child Labour
Sirkulær økonomi,Circular Economy
Sivilloven,Civil Code
Sivilforsvar,Civil Protection
Sivile fagforeninger,Civil Unions
Lov om ren luft,Clean Air Act
Regulering av rent drivstoff,Clean Fuel Regulation
Klimaloven,Climate Act
Klimatilpasning,Climate Adaptation
Klimaavtale,Climate Agreement
Klimaendring,Climate Change
Rapportering om klima,Climate Disclosure
Klimavern,Climate Protection
Klimakvote,Climate Quota
Rapportering av klimarisiko,Climate Risk Reporting
Klimarisiko,Climate Risks
Klimafokuserte skatteinsentiver,Climate-Focused Tax Incentives
Klimarelaterte spørsmål,Climate-related Matters
CO2-loven,CO2 Act
CO2-reduksjon,CO2 Reduction
Lov om forbud mot kull,Coal Ban Law
Forvaltning av kystsoner,Coastal Zone Management
Regler for forpliktelser,Code of Obligations
Medbestemmelse,Co-Determination
Medbestemmelsesloven,Codetermination Act
Kollektive forhandlinger,Collective Bargaining
Kollektiv investering,Collective investment
Kollektive investeringer,Collective Investments
Kommersiell kode,Commercial Code
Kommersielle selskaper,Commercial Companies
Kommisjonens delegerte,Commission Delegated
Forpliktelse til miljøet,Commitment to the Environment
Samfunnsengasjement,Community Engagement
Aksjeloven,Companies Act
Bedriftens pensjoner,Company Pensions
Tilsyn med selskaper,Company supervision
Konkurranseloven,Competition Act
Konkurranserett,Competition Law
Konføderasjonens personell,Confederation Personnel
Konsolidert tekst,Consolidated text
Grunnlov,Constitution
Forbruker kode,Consumer Code
Forbrukerbeskyttelse,Consumer protection
Lover om forbrukerbeskyttelse,Consumer Protection Laws
Forbrukere og sluttbrukere,Consumers and End-users
Utbedring av forurenset land,Contaminated Land Remediation
Forurenset jord,Contaminated soils
Bedriftens avsløring,Corporate Disclosure
Styring,Corporate Governance
Samfunnsansvar,Corporate Social Responsibility
Bedriftens bærekraft,Corporate Sustainability
Bedriftens bærekraftsrapportering,Corporate Sustainability Reporting
Åpenhet i bedriftene,Corporate Transparency
Opprettelse og vekst,Creation and growth
Kredittinstitusjon,Credit Institution
Kredittinstitusjoner,Credit institutions
Straffelov,Criminal Code
